file,n_utt,n_child,n_caregiver,n_other,caregiver_to_child_ratio,pct_mor,pct_gra,pct_rich_dep,pct_zero_tokens,mean_tokens,median_tokens,n_total_word_tokens,pct_control_word_tokens,pct_period,pct_question,pct_exclamation,pct_other_term,header_types,n_distinct_header_types,subcorpus,pool,child
020005b,1191,458,733,0,1.6004366812227073,0.8488664987405542,0.8488664987405542,0.0,0.12174643157010916,2.5894206549118386,2.0,3084,0.0907911802853437,0.7875734676742233,0.1847187237615449,0.0,0.027707808564231738,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Eleanor
020006a,1415,601,814,0,1.3544093178036605,0.8784452296819788,0.8784452296819788,0.025441696113074206,0.0939929328621908,2.8,2.0,3962,0.06511862695608278,0.7067137809187279,0.17102473498233214,0.0480565371024735,0.07420494699646643,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Eleanor
020006b,1176,421,755,0,1.7933491686460807,0.7202380952380952,0.7202380952380952,0.0195578231292517,0.1522108843537415,2.7023809523809526,1.0,3178,0.10069225928256766,0.8180272108843537,0.15306122448979592,0.007653061224489796,0.021258503401360544,begin|comment|date|end|id|languages|location|media|participants|pid|situation|transcriber|types|utf8,14,UK_long_long,English-UK,Eleanor
020006c,959,0,0,959,,1.0,1.0,0.0,0.008342022940563087,3.0448383733055264,3.0,2920,0.039383561643835614,1.0,0.0,0.0,0.0,begin|comment|end|id|languages|media|participants|pid|types|utf8,10,UK_long_long,English-UK,Eleanor
020025,1709,484,1064,161,2.1983471074380163,0.901111761263897,0.901111761263897,0.02633118782913985,0.024575775307197192,2.8496196606202457,2.0,4870,0.04702258726899384,0.6740784084259801,0.29900526623756585,0.0023405500292568754,0.024575775307197192,activities|begin|comment|date|end|id|languages|lazy_gem|location|media|participants|pid|situation|time_duration|time_start|types|utf8,17,UK_long_long,English-UK,Nicole
020101,1413,417,779,217,1.86810551558753,0.9150743099787686,0.9150743099787686,0.10261854210898796,0.03113941967445152,3.1266808209483368,2.0,4418,0.03915799004074242,0.7020523708421798,0.28803963198867655,0.0,0.009907997169143666,begin|comment|date|end|id|languages|lazy_gem|location|media|participants|pid|situation|time_duration|time_start|types|utf8,16,UK_long_long,English-UK,Nicole
020115,1893,794,1010,89,1.2720403022670026,0.8901215002641311,0.8901215002641311,0.027997886951928157,0.04120443740095087,2.472266244057052,1.0,4680,0.05790598290598291,0.7617538298996303,0.21870047543581617,0.0021130480718436345,0.017432646592709985,begin|comment|date|end|id|languages|lazy_gem|location|media|participants|pid|situation|time_duration|time_start|types|utf8,16,UK_long_long,English-UK,Nicole
020122,1732,556,945,231,1.6996402877697843,0.9359122401847575,0.9359122401847575,0.037528868360277134,0.03002309468822171,3.0069284064665127,2.0,5208,0.03302611367127496,0.7165127020785219,0.2678983833718245,0.0,0.01558891454965358,begin|comment|date|end|id|languages|lazy_gem|location|media|participants|pid|situation|time_duration|time_start|types|utf8,16,UK_long_long,English-UK,Nicole
020205,1521,426,950,145,2.2300469483568075,0.9526627218934911,0.9526627218934911,0.05259697567389875,0.021696252465483234,3.280078895463511,2.0,4989,0.0220485067147725,0.6712689020381328,0.3155818540433925,0.0019723865877712033,0.011176857330703484,activities|begin|comment|date|end|id|languages|lazy_gem|location|media|participants|pid|situation|time_duration|time_start|types|utf8|warning,18,UK_long_long,English-UK,Nicole
020212,1525,545,864,116,1.5853211009174313,0.9547540983606557,0.9547540983606557,0.03344262295081967,0.022295081967213116,3.3593442622950818,2.0,5123,0.02439976576224868,0.7042622950819672,0.27934426229508197,0.0,0.01639344262295082,activities|begin|comment|date|end|id|languages|lazy_gem|location|media|participants|pid|situation|time_duration|time_start|types|utf8,17,UK_long_long,English-UK,Nicole
