file,corpus_dir,child,n_utt,n_speakers,n_participants_declared,has_investigator,n_caregiver_codes,duration_minutes,Situation,Activities,Location,Types,Transcriber,pct_xxx,pct_yyy,pct_www,pct_amp_event,pct_timecode,pct_plus_info,pct_CHI,pct_MOT,pct_FAT,pct_INV,pct_mor,pct_gra,pct_com,pct_sit,pct_act,pct_exp,pct_spa,pct_xpho,pct_err,pct_add,n_distinct_dep_tiers,subcorpus
020103,English-UK,Joel,1696,3,3,1,1,30.0,MOT answers phone,,"Sandiacre , Nott , UK","long, toyplay, TD",,0.15683962264150944,0.0,0.04245283018867924,0.005306603773584905,0.0,0.0,0.39504716981132076,0.5341981132075472,0.0,0.07075471698113207,0.8248820754716981,0.8248820754716981,0.009433962264150943,0.0011792452830188679,0.018278301886792452,0.0047169811320754715,0.0,0.0,0.0011792452830188679,0.04304245283018868,10,Manchester
020110,English-UK,Joel,1158,4,4,1,1,40.0,Structured Play,"doll , Duplo and basket of food available to be played with","Sandiacre , Nott , UK","long, toyplay, TD",,0.07772020725388601,0.0,0.037132987910189985,0.017271157167530225,0.0,0.0,0.2547495682210708,0.4948186528497409,0.0,0.22711571675302245,0.9093264248704663,0.9093264248704663,0.03626943005181347,0.0,0.016407599309153715,0.0,0.0,0.0,0.0008635578583765112,0.038860103626943004,8,Manchester
020123,English-UK,Joel,1873,3,3,1,1,30.0,Structured Play,,"Sandiacre , Nott , UK","long, toyplay, TD",,0.08222103577148959,0.0,0.022423918846769888,0.00800854244527496,0.0,0.0,0.3619861185264282,0.5472504004271223,0.0,0.09076348104644955,0.9167111585691404,0.9167111585691404,0.011211959423384944,0.0005339028296849973,0.007474639615589963,0.0005339028296849973,0.0,0.0,0.0,0.022957821676454885,9,Manchester
020207,English-UK,Joel,1345,3,3,1,1,30.0,Structured Play,"doll , Duplo , basket of food , hoops , panda and car , helicopter from wug session.","Sandiacre , Nott , UK","long, toyplay, TD",,0.053531598513011154,0.0,0.011152416356877323,0.023048327137546468,0.0,0.0,0.32936802973977697,0.6579925650557621,0.0,0.012639405204460967,0.9509293680297398,0.9509293680297398,0.025278810408921933,0.0,0.007434944237918215,0.012639405204460967,0.0,0.0,0.002973977695167286,0.011895910780669145,8,Manchester
011115,English-UK,John,1386,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.03318903318903319,0.0,0.007215007215007215,0.01875901875901876,0.0,0.0,0.43506493506493504,0.5533910533910534,0.0,0.011544011544011544,0.9747474747474747,0.9747474747474747,0.010101010101010102,0.0,0.0,0.001443001443001443,0.0,0.0,0.012265512265512266,0.007215007215007215,6,Manchester
011129,English-UK,John,1276,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.02586206896551724,0.0,0.0007836990595611285,0.018025078369905956,0.0,0.0,0.3432601880877743,0.6152037617554859,0.0,0.041536050156739814,0.9866771159874608,0.9866771159874608,0.003918495297805642,0.0,0.0,0.001567398119122257,0.0,0.0,0.014890282131661442,0.0007836990595611285,6,Manchester
020013,English-UK,John,1336,4,4,1,2,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.01721556886227545,0.005988023952095809,0.005239520958083832,0.019461077844311378,0.0,0.0,0.35254491017964074,0.6399700598802395,0.0,0.006736526946107785,0.9767964071856288,0.9767964071856288,0.008982035928143712,0.0,0.0,0.0014970059880239522,0.0,0.0,0.012724550898203593,0.005239520958083832,6,Manchester
020018,English-UK,John,1166,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.032590051457975985,0.0,0.0137221269296741,0.02058319039451115,0.0,0.0,0.40051457975986277,0.5566037735849056,0.0,0.04288164665523156,0.9699828473413379,0.9699828473413379,0.007718696397941681,0.0,0.0,0.00686106346483705,0.0,0.0,0.0137221269296741,0.0137221269296741,6,Manchester
020026,English-UK,John,1239,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",,0.02824858757062147,0.0,0.004842615012106538,0.01775625504439064,0.0,0.0,0.423728813559322,0.5657788539144472,0.0,0.010492332526230832,0.9741727199354318,0.9741727199354318,0.0016142050040355124,0.0,0.0,0.0016142050040355124,0.0,0.0,0.00887812752219532,0.004842615012106538,6,Manchester
020102,English-UK,John,1174,3,3,1,1,,playing with toys,,"Manchester , England","long, toyplay, TD",Anna Theakston,0.029812606473594547,0.0,0.005110732538330494,0.007666098807495741,0.0,0.0,0.39608177172061326,0.4080068143100511,0.0,0.19591141396933562,0.9735945485519591,0.9735945485519591,0.005110732538330494,0.0,0.0,0.0,0.0,0.0,0.0017035775127768314,0.005110732538330494,5,Manchester
