corpus,language,spec,predictor,beta,se,stat,p,ci95_low,ci95_high
Brown,English,S4_post_OLS_cluster_cue,cumulative_cue_attempts_z,0.07177872976086519,0.011785767346717945,6.090289045189226,1.1270700929378857e-09,0.048679050231129825,0.09487840929060055
Brown,English,S4_post_OLS_cluster_cue,COI_x_cumulative,0.030252560480205047,0.014267320928071045,2.120409334921663,0.03397154014982539,0.0022891253053112202,0.05821599565509887
Brown,English,S4_post_OLS_cluster_cue,prior_local_freq_z,0.1035045050189122,0.01619055013025899,6.39289611447295,1.6277285633991335e-10,0.07177160987371431,0.1352374001641101
Brown,English,S4_post_OLS_cluster_cue,log_cue_freq_z,0.11981667105087038,0.018235966672006894,6.570349310563002,5.019736176807656e-11,0.08407483315046411,0.15555850895127665
Brown,English,S4_post_OLS_cluster_cue,age_z,-0.03354458139950505,0.008547539306683007,-3.9244723183990247,8.692005288740973e-05,-0.05029745059704421,-0.016791712201965892
Manchester,English-Manchester,M_new_post_OLS_cluster_cue,const,0.44236727950699906,0.010359171959384109,42.70295746044353,0.0,0.42206367555694896,0.46267088345704915
Manchester,English-Manchester,M_new_post_OLS_cluster_cue,COI_z,-0.016838626966058437,0.013064253088727508,-1.2889085087143366,0.1974298956288698,-0.042444092504880515,0.008766838572763638
Manchester,English-Manchester,M_new_post_OLS_cluster_cue,cumulative_cue_attempts_z,0.04483296213924879,0.013634867133221304,3.2881114059420087,0.0010086191840861004,0.01810911362414614,0.07155681065435143
Manchester,English-Manchester,M_new_post_OLS_cluster_cue,COI_x_cumulative,-0.006510507431345962,0.013617909740564803,-0.47808419613419606,0.6325902799337131,-0.033201120067570165,0.020180105204878243
Manchester,English-Manchester,M_new_post_OLS_cluster_cue,prior_local_freq_z,0.14540197077546224,0.017209284295918555,8.44904228875727,2.9370208184922875e-17,0.11167239335575113,0.17913154819517335
Manchester,English-Manchester,M_new_post_OLS_cluster_cue,log_cue_freq_z,0.10484679417467044,0.02162419150928225,4.848587940486221,1.243434060386636e-06,0.062464157621680394,0.14722943072766048
Manchester,English-Manchester,M_new_post_OLS_cluster_child,const,0.44236727950699906,0.00831633479015522,53.19257709906872,0.0,0.42606756283491737,0.45866699617908074
Manchester,English-Manchester,M_new_post_OLS_cluster_child,COI_z,-0.016838626966058437,0.0052455212137354655,-3.2100960571785073,0.001326906220405706,-0.02711965962512078,-0.006557594306996093
Manchester,English-Manchester,M_new_post_OLS_cluster_child,cumulative_cue_attempts_z,0.04483296213924879,0.00794654321261383,5.641819460326326,1.6826248698955174e-08,0.029258023640934466,0.060407900637563114
Manchester,English-Manchester,M_new_post_OLS_cluster_child,COI_x_cumulative,-0.006510507431345962,0.0051230391081454035,-1.2708291492435702,0.2037894363063023,-0.016551479574701152,0.0035304647120092273
Manchester,English-Manchester,M_new_post_OLS_cluster_child,prior_local_freq_z,0.14540197077546224,0.008611848988769936,16.883943386033593,5.90643064321681e-64,0.12852305691717547,0.162280884633749
Manchester,English-Manchester,M_new_post_OLS_cluster_child,log_cue_freq_z,0.10484679417467044,0.011493077535061288,9.12260392003971,7.334059951504237e-20,0.08232077613442393,0.12737281221491695
Manchester,English-Manchester,M_new_post_MixedLM_child,Intercept,0.4657953939134146,0.010897390528115631,42.74375527899519,0.0,,
Manchester,English-Manchester,M_new_post_MixedLM_child,COI_z,-0.021478407164677745,0.0024878815515004824,-8.633211316561178,5.965308443146336e-18,,
