language,child,subcorpus,window,n_episodes,truncation,mode,n_cues,outcome_mean,outcome_var,beta,se,p
English-Manchester,Anne,Manchester,7,6175,0.0037246963562753035,Continuous,83,0.12938692886061304,0.028883817323959223,7.037608572067842e-06,0.012189934330373393,0.9995393577388926
English-Manchester,Anne,Manchester,10,6175,0.0066396761133603235,LPM,83,0.5509311740890688,0.24744608774683968,0.03791986716361323,0.0406940135328096,0.35142483852215267
English-Manchester,Anne,Manchester,10,6175,0.0066396761133603235,Logit,83,0.5509311740890688,0.24744608774683968,-0.03238397160512989,0.09991566197533884,0.745852434731347
English-Manchester,Anne,Manchester,10,6175,0.0066396761133603235,Continuous,83,0.12592886061307113,0.024217917263868696,0.0005156186076436368,0.01317284903346004,0.9687767547640503
English-Manchester,Anne,Manchester,15,6175,0.01068825910931174,LPM,83,0.6241295546558705,0.23462985039784182,0.01516371026105761,0.058782437382547105,0.7964352478363721
English-Manchester,Anne,Manchester,15,6175,0.01068825910931174,Logit,83,0.6241295546558705,0.23462985039784182,-0.12342430503274826,0.10692263635098302,0.24836375859960091
English-Manchester,Anne,Manchester,15,6175,0.01068825910931174,Continuous,83,0.1212464067646254,0.020208079773700975,0.0021236711654246837,0.01490419660236088,0.8866944512891319
English-Manchester,Anne,Manchester,20,6175,0.013927125506072875,LPM,83,0.6686639676113361,0.2215883507827654,0.010966656350962674,0.06567317097902355,0.8673791929261053
English-Manchester,Anne,Manchester,20,6175,0.013927125506072875,Logit,83,0.6686639676113361,0.2215883507827654,-0.03235851270229437,0.11493089349332766,0.778290454586929
English-Manchester,Anne,Manchester,20,6175,0.013927125506072875,Continuous,83,0.11835718850185327,0.01816336257750066,0.00495986348636416,0.01413496437779572,0.7256684410941853
English-Manchester,Aran,Manchester,3,5762,0.004512322110378341,LPM,88,0.415827837556404,0.242957212500409,0.03157233160397184,0.020621566560814108,0.125760845267091
English-Manchester,Aran,Manchester,3,5762,0.004512322110378341,Logit,88,0.415827837556404,0.242957212500409,0.023595046099941883,0.0867680334661345,0.785673940289272
English-Manchester,Aran,Manchester,3,5762,0.004512322110378341,Continuous,88,0.198542172856647,0.07390325345267916,0.012706152576023151,0.015306937441812964,0.4064872772905438
English-Manchester,Aran,Manchester,5,5762,0.0076362374175633465,LPM,88,0.5095452967719541,0.24995226673798693,0.04155075172045557,0.02445151534997102,0.08926042608555512
English-Manchester,Aran,Manchester,5,5762,0.0076362374175633465,Logit,88,0.5095452967719541,0.24995226673798693,0.061630061127484884,0.08521582358726852,0.4695427639799469
English-Manchester,Aran,Manchester,5,5762,0.0076362374175633465,Continuous,88,0.1908683327548305,0.055670469998959485,0.025187165061458287,0.014843774743067268,0.08973131807221421
English-Manchester,Aran,Manchester,7,5762,0.00971884762235335,LPM,88,0.5718500520652551,0.24488006916246907,0.05472161323101979,0.034385924865624785,0.1115205497414569
English-Manchester,Aran,Manchester,7,5762,0.00971884762235335,Logit,88,0.5718500520652551,0.24488006916246907,0.1830853204928026,0.0863961747186306,0.03407890039458185
English-Manchester,Aran,Manchester,7,5762,0.00971884762235335,Continuous,88,0.18579816862531195,0.046875241181262815,0.02692254515686824,0.015421911923432152,0.08085730627735788
English-Manchester,Aran,Manchester,10,5762,0.01596667823672336,LPM,88,0.6291218326969802,0.23336805354512177,0.033591962399680805,0.046765770587493656,0.4725708882687313
English-Manchester,Aran,Manchester,10,5762,0.01596667823672336,Logit,88,0.6291218326969802,0.23336805354512177,0.21222343997761775,0.091308464716067,0.020112250933733766
English-Manchester,Aran,Manchester,10,5762,0.01596667823672336,Continuous,88,0.18207901522288888,0.04086277725949275,0.024870628813345588,0.01654517871937486,0.13278878384048573
English-Manchester,Aran,Manchester,15,5762,0.023082263103089206,LPM,88,0.6896910794862895,0.21405444369406104,0.011551065536563598,0.05698088897559656,0.8393552655841807
English-Manchester,Aran,Manchester,15,5762,0.023082263103089206,Logit,88,0.6896910794862895,0.21405444369406104,0.30743556617932644,0.10293673495804698,0.002820563142680467
English-Manchester,Aran,Manchester,15,5762,0.023082263103089206,Continuous,88,0.17864292799645107,0.036370315441343656,0.022867442134853175,0.016663216544004513,0.1699605405371455
English-Manchester,Aran,Manchester,20,5762,0.031239153071850052,LPM,88,0.7290871225269003,0.1975533758487227,-0.02283712446616211,0.05858317467623665,0.6966667336460269
English-Manchester,Aran,Manchester,20,5762,0.031239153071850052,Logit,88,0.7290871225269003,0.1975533758487227,0.2585231289182934,0.11862364096201566,0.029305241334788065
English-Manchester,Aran,Manchester,20,5762,0.031239153071850052,Continuous,88,0.17673812681695006,0.03461714287890656,0.025195253955244322,0.01842814121934624,0.17155753636281468
English-Manchester,Becky,Manchester,3,2415,0.002070393374741201,LPM,70,0.337888198757764,0.22381243985653052,-0.013151452846921152,0.04168657244860019,0.7523940840687273
English-Manchester,Becky,Manchester,3,2415,0.002070393374741201,Logit,70,0.337888198757764,0.22381243985653052,-0.1883105411133141,0.20541638570493026,0.35928623938905946
English-Manchester,Becky,Manchester,3,2415,0.002070393374741201,Continuous,70,0.14906832298136646,0.05491202400535637,-0.01281082253698218,0.026743493241406333,0.6319202933174127
English-Manchester,Becky,Manchester,5,2415,0.004968944099378882,LPM,70,0.4380952380952381,0.24626977551584017,-0.020995801324890706,0.039065165473036845,0.5909527806442154
English-Manchester,Becky,Manchester,5,2415,0.004968944099378882,Logit,70,0.4380952380952381,0.24626977551584017,-0.28326807062160486,0.19481164366541695,0.14592931349728627
English-Manchester,Becky,Manchester,5,2415,0.004968944099378882,Continuous,70,0.14437543133195307,0.039944301596259384,-0.014220788593407648,0.02246768050727303,0.5267700671975786
English-Manchester,Becky,Manchester,7,2415,0.006625258799171843,LPM,70,0.493167701863354,0.25005686291663015,-0.012855351967222844,0.04358134636169854,0.7680139534702853
English-Manchester,Becky,Manchester,7,2415,0.006625258799171843,Logit,70,0.493167701863354,0.25005686291663015,-0.29112337746527855,0.19605420892096984,0.13756696115038397
English-Manchester,Becky,Manchester,7,2415,0.006625258799171843,Continuous,70,0.14073153899240853,0.03382538748642275,-0.02142564249073573,0.024431198578789295,0.38049816916017065
