child,model,n_episodes,n_cues,outcome_mean,beta_COI_x_cum,se_COI_x_cum,p_COI_x_cum,r2,beta_rplus_episode_z_local,p_rplus_episode_z_local,beta_rplus_between_z_local,p_rplus_between_z_local,beta_rplus_ep_x_COI_local,p_rplus_ep_x_COI_local,beta_rplus_bet_x_COI_local,p_rplus_bet_x_COI_local,language,window,subcorpus,subcorpus_norm
Laura,with_rplus,588,53,0.5714285714285714,0.12253506367045752,0.04849231753657441,0.011507543568473989,0.3786377421633298,0.023885069523605154,0.2583404917292038,0.011100843651090308,0.6022027991795538,-0.044716723653162246,0.04150810662700149,0.01733768673851735,0.18330946621930144,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Liz,with_rplus,4183,78,0.48171169017451587,0.051545292172221,0.06143086788931379,0.40142551870043064,0.2753307736791455,0.01633020445994948,0.03886009334286794,-0.0006237067451094354,0.9685253943522273,0.0020006961617416354,0.8233551521341088,0.0035418536741557228,0.6863550664412524,English-UK,10,Manchester,Manchester
Neville,with_rplus,1330,63,0.3398496240601504,-0.031917563637662516,0.05891179772109272,0.5879662129686186,0.14642460103639798,0.029205711634066652,0.00612228355198017,0.0021219904659168128,0.8874534639919117,-0.005283819534542995,0.6360142712273069,0.008270647082080472,0.3674457183673837,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Nicole,with_rplus,1564,71,0.49168797953964194,0.08388279918946581,0.022717918317392758,0.00022218010351927206,0.2756182355868082,0.01960916580506656,0.05119871235058442,0.0059913651163269015,0.652643247307819,-0.005233551921912701,0.5678789860071335,-0.0009219408000462673,0.9290036232650658,English-UK,10,UK_long_longitudinal (n_files≥30),UK_long_long
Penny,with_rplus,357,40,0.6722689075630253,-0.005060587753655459,0.0877025006296643,0.9539861998317892,0.29182397659317316,-0.002424462064527892,0.9206068976984737,0.0039637523698074825,0.9239712705294352,0.030508390570110774,0.30061077063225505,-0.05760551606229827,0.09706255066822703,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Ruth,with_rplus,648,50,0.5617283950617284,0.036511603555722624,0.03358631388888236,0.2769936476974999,0.2885079218482044,0.031509373532672226,0.18412942861309545,0.01363581773384281,0.6036903461391255,-0.01882615964438892,0.379196351173817,-0.004735525810766852,0.8245268835574083,English-UK,10,Manchester,Manchester
Samantha,with_rplus,1386,65,0.5202020202020202,-0.007000098892937779,0.05903019779336536,0.9056041109974264,0.32090480814900735,-0.010382449655085103,0.5129141429629245,0.0387449732737135,0.05873348792289854,0.0039049750379796504,0.7412835258362441,0.01362898523158189,0.4066937062043434,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Sean,with_rplus,4918,94,0.5394469296461977,0.016090713820312644,0.05417372728596876,0.7664507701247932,0.35872462228621516,-0.014215955954425923,0.022110830582973022,0.04706475163812235,0.00043404856938993817,0.009065720678675511,0.2483822955060191,0.005799912621746928,0.44038988388744615,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Stella,with_rplus,1484,64,0.4925876010781671,0.07331720995640402,0.03985124817189644,0.06580172004099757,0.33290848528446837,0.010272809115977232,0.5480099854151721,0.0016877422411875759,0.9227634512135319,0.00832247795726117,0.6579887479801275,0.01117838229652585,0.3494315218787918,English-UK,10,UK_short_observation (n_files<30),UK_short_obs
Thomas,with_rplus,166827,136,0.4983605771248059,0.02273376676081082,0.03922924877866505,0.5622446746308161,0.32797622551103967,0.008798073155239625,9.042603114607031e-16,0.038423518004298794,0.00017546902799720778,0.0019660750616150293,0.1733126394008423,0.0024554235625175074,0.6225046568476245,English-UK,10,UK_long_longitudinal (n_files≥30),UK_long_long
Warren,with_rplus,42815,124,0.4995445521429406,-0.010597970602431292,0.03919555506567191,0.7868624999369225,0.34575399400423723,0.008163014791666602,0.0017449501561391948,0.05373616339504225,3.61451243928201e-05,-0.0021020693432044846,0.4013356969255738,0.008692157330940633,0.09807319475814695,English-UK,10,Manchester,Manchester
