corpus,language,window,spec,predictor,beta,se,p,p_naive,ci95_low,ci95_high
Manchester,English-Manchester,5,C_MixedLM,age_x_COI,0.05287219806284924,0.006208051777897489,1.6414497727588626e-17,,,
Manchester,English-Manchester,5,C_MixedLM,age_x_R_within,-0.009958388818093833,0.006729940426616179,0.13894951840425052,,,
Manchester,English-Manchester,5,C_MixedLM,age_x_COI_x_R_within,0.010469030803249029,0.006584439162363545,0.1118425921732844,,,
English-UK,English-UK,5,C_OLS_cluster,const,0.2934773106428245,0.019924366706049808,4.1635998572882046e-49,0.0,0.25442626948419794,0.33252835180145107
English-UK,English-UK,5,C_OLS_cluster,logFreq_z,0.2194455718967088,0.02383649063649155,3.376012192894421e-20,0.0,0.17272690873135912,0.26616423506205844
English-UK,English-UK,5,C_OLS_cluster,COI_z,0.0042029822958132915,0.018152899686595447,0.8169013089762193,0.3703211136518762,-0.03137604730488222,0.039782011896508804
English-UK,English-UK,5,C_OLS_cluster,COI_x_logFreq,0.05415985686737847,0.009326499098813286,6.356645627218914e-09,0.0,0.035880254531859154,0.07243945920289778
English-UK,English-UK,5,C_OLS_cluster,R_between_z,0.04491440617536447,0.019280373261403725,0.01983046156727568,0.0,0.007125568974524106,0.08270324337620483
English-UK,English-UK,5,C_OLS_cluster,R_within_z,0.008042431615680185,0.007645361950923655,0.29282890495641056,0.1407855749224096,-0.006942202456903062,0.02302706568826343
English-UK,English-UK,5,C_OLS_cluster,COI_x_R_between,0.005418464543668394,0.010194752928086939,0.595075510566418,3.1792835295014537e-17,-0.014562884026666265,0.02539981311400305
English-UK,English-UK,5,C_OLS_cluster,COI_x_R_within,-0.006923238249522389,0.0062767533254490335,0.2700285951338133,0.18375902771596175,-0.019225448707244512,0.0053789722081997345
English-UK,English-UK,5,C_OLS_cluster,age_post,0.08877687269837833,0.027680562320805,0.0013403759426560804,6.24568413871986e-77,0.03452396747778408,0.1430297779189726
English-UK,English-UK,5,C_OLS_cluster,age_x_COI,0.03185729530352157,0.01627502148992391,0.05029635689609802,1.5108671853504057e-11,-4.116066434470961e-05,0.06375575127138786
English-UK,English-UK,5,C_OLS_cluster,age_x_R_within,-0.005567391625074735,0.007246705467577534,0.4423296449730465,0.3128838403321163,-0.019770673348096193,0.008635890097946724
English-UK,English-UK,5,C_OLS_cluster,age_x_COI_x_R_within,0.006609255275111371,0.005621283356995681,0.23969256139085737,0.2095994361437716,-0.004408257651494574,0.017626768201717317
English-UK,English-UK,5,C_MixedLM,Intercept,0.23439990258907883,0.007132010114196336,6.75279848838223e-237,,,
English-UK,English-UK,5,C_MixedLM,logFreq_z,0.15068009510779387,0.004224871715472005,1.3790766885138448e-278,,,
English-UK,English-UK,5,C_MixedLM,COI_z,0.0014145387348341776,0.006657371857085261,0.8317348802491289,,,
English-UK,English-UK,5,C_MixedLM,COI_x_logFreq,0.028106594983071057,0.0022042452868874297,3.073004149851126e-37,,,
English-UK,English-UK,5,C_MixedLM,R_between_z,0.020575272104127466,0.002699404095347794,2.494783014362237e-14,,,
English-UK,English-UK,5,C_MixedLM,R_within_z,0.004583931094498213,0.005357331480183261,0.39219859133403145,,,
English-UK,English-UK,5,C_MixedLM,COI_x_R_between,0.0034422187489362606,0.001219189959377618,0.004752237546744662,,,
English-UK,English-UK,5,C_MixedLM,COI_x_R_within,-0.004408808904331205,0.005150355763308281,0.39198657044053364,,,
English-UK,English-UK,5,C_MixedLM,age_post,0.1286171859535663,0.005313002377290626,1.8322778452881198e-129,,,
English-UK,English-UK,5,C_MixedLM,age_x_COI,0.025429554349324812,0.00524604597224898,1.2510553878006416e-06,,,
English-UK,English-UK,5,C_MixedLM,age_x_R_within,-0.0007305809924581749,0.005411983828214507,0.8926172540721566,,,
English-UK,English-UK,5,C_MixedLM,age_x_COI_x_R_within,0.0029835813215660666,0.005206859280535848,0.5666380680914189,,,
