window,child,subcorpus_norm,n_episodes,obs_window,beta,se,p
10,Jason,UK_short_obs,320,,0.0355624819312953,0.0435041049155048,0.4136706373817558
10,Jonathan,UK_short_obs,240,,0.1476740235685039,0.0687808511025459,0.031791503497701
10,Laura,UK_short_obs,588,,0.1312795520495792,0.0503634204018663,0.0091434132980945
10,Neville,UK_short_obs,1330,,-0.0341332511045061,0.0586035874540809,0.5602683039756924
10,Nicole,UK_long_long,1564,,0.0849952857627258,0.0211222355127232,5.722470670853366e-05
10,Penny,UK_short_obs,357,,-0.0009329106478605,0.0814317737022572,0.9908593576375302
10,Samantha,UK_short_obs,1386,,0.0096966029164772,0.0651326541128407,0.8816525224492167
10,Sean,UK_short_obs,4918,,0.0157087859372187,0.0586013735327372,0.7886517982884086
10,Stella,UK_short_obs,1484,,0.0792175423718949,0.0425267040427544,0.0624943879956807
10,Thomas,UK_long_long,166827,,0.0076896771474203,0.0407015115673021,0.8501488248591282
10,April,NA_other,667,10.0,0.04772751564761657,0.02028905105787139,0.018653812036194498
20,Adam,Brown,6707,,0.0226043799946213,0.0511290155624984,0.6584134164856639
20,Eve,Brown,1570,,0.0262170698752903,0.0479212666575895,0.5843194237432978
20,Sarah,Brown,6682,,-0.0034792093685929,0.0692500069448198,0.9599301120206852
20,Anne,Manchester,6175,,0.0109666563509626,0.0656731709790235,0.8673791929261053
20,Aran,Manchester,5762,,-0.0228371244661621,0.0585831746762366,0.6966667336460269
20,Becky,Manchester,2415,,-0.0419621826294956,0.1104309110371468,0.7039559253363703
20,Carl,Manchester,5983,,-0.0714547561176038,0.0480301898367295,0.1368286944307289
20,Dominic,Manchester,1575,,-0.0060257263813481,0.0355664382491384,0.8654649571939278
20,Gail,Manchester,1526,,-0.0171431820577683,0.0408005268999588,0.674360827138192
20,Joel,Manchester,3532,,0.0021893163393447,0.0716040028143244,0.9756082131487308
20,John,Manchester,14831,,-0.068758112882727,0.0568642867594518,0.2266007609683411
20,Liz,Manchester,8212,,-0.0706383477545133,0.0992871599366695,0.4768023183353519
20,Ruth,Manchester,9241,,-0.0747867317017212,0.0735015774239268,0.3089228990018627
20,Warren,Manchester,18281,,-0.0758599310118244,0.0428525715564624,0.0766848574889149
20,Abigail,UK_short_obs,4296,,-0.0407321610265464,0.061519726402655,0.5079076548436899
20,Eleanor,UK_long_long,43709,,0.008169737332496,0.0523337250137851,0.8759475282808808
20,Frances,UK_short_obs,1451,,-0.1120701940800786,0.0859636691594029,0.1923384344340403
20,Fraser,UK_long_long,13062,,-0.0334563449558211,0.0313302236077848,0.2855829139954955
20,Geoffrey,UK_short_obs,1853,,0.1452057179894691,0.0437727683877503,0.0009090450020107
20,Helen,UK_long_long,515,,-0.0124768111394348,0.0621788991086793,0.8409645238313914
20,Jack,UK_short_obs,401,,0.0337074937856115,0.0449322116851041,0.4531429892448227
20,Jason,UK_short_obs,320,,-0.0627433844179057,0.0604290357150717,0.2991310507664171
20,Jonathan,UK_short_obs,240,,0.105547733690706,0.0623820729436536,0.0906543294425318
20,Laura,UK_short_obs,588,,0.1600086429109505,0.0380021071298129,2.5478324534375636e-05
